DataPoint,Wavelength_1_Left Hand_,Wavelength_1_Right Hand_,Wavelength_1__,Wavelength_1__,Wavelength_1__,Wavelength_2_Left Hand_,Wavelength_2_Right Hand_,Wavelength_2__,Wavelength_2__,Wavelength_2__,Wavelength_3_Left Hand_,Wavelength_3_Right Hand_,Wavelength_3__,Wavelength_3__,Wavelength_3__
74,0.0529707,0,1,0,0,0.0529707,0,1,0,0,0.0529707,0,1,0,0
75,0.0581647,0,1,0,0,0.0581647,0,1,0,0,0.0581647,0,1,0,0
76,0.0636615,0,1,0,0,0.0636615,0,1,0,0,0.0636615,0,1,0,0
77,0.069463,0,1,0,0,0.069463,0,1,0,0,0.069463,0,1,0,0
78,0.0755702,0,1,0,0,0.0755702,0,1,0,0,0.0755702,0,1,0,0
79,0.0819835,0,1,0,0,0.0819835,0,1,0,0,0.0819835,0,1,0,0
80,0.0887022,0,1,0,0,0.0887022,0,1,0,0,0.0887022,0,1,0,0
81,0.0957251,0,1,0,0,0.0957251,0,1,0,0,0.0957251,0,1,0,0
82,0.10305,0,1,0,0,0.10305,0,1,0,0,0.10305,0,1,0,0
83,0.110674,0,1,0,0,0.110674,0,1,0,0,0.110674,0,1,0,0
84,0.118593,0,1,0,0,0.118593,0,1,0,0,0.118593,0,1,0,0
85,0.126803,0,1,0,0,0.126803,0,1,0,0,0.126803,0,1,0,0
86,0.135299,0,1,0,0,0.135299,0,1,0,0,0.135299,0,1,0,0
87,0.144076,0,1,0,0,0.144076,0,1,0,0,0.144076,0,1,0,0
88,0.153126,0,1,0,0,0.153126,0,1,0,0,0.153126,0,1,0,0
89,0.162444,0,1,0,0,0.162444,0,1,0,0,0.162444,0,1,0,0
90,0.172022,0,1,0,0,0.172022,0,1,0,0,0.172022,0,1,0,0
91,0.181851,0,1,0,0,0.181851,0,1,0,0,0.181851,0,1,0,0
92,0.191924,0,1,0,0,0.191924,0,1,0,0,0.191924,0,1,0,0
93,0.202232,0,1,0,0,0.202232,0,1,0,0,0.202232,0,1,0,0
94,0.212765,0,1,0,0,0.212765,0,1,0,0,0.212765,0,1,0,0
95,0.223514,0,1,0,0,0.223514,0,1,0,0,0.223514,0,1,0,0
96,0.234469,0,1,0,0,0.234469,0,1,0,0,0.234469,0,1,0,0
97,0.245621,0,1,0,0,0.245621,0,1,0,0,0.245621,0,1,0,0
98,0.256958,0,1,0,0,0.256958,0,1,0,0,0.256958,0,1,0,0
99,0.26847,0,1,0,0,0.26847,0,1,0,0,0.26847,0,1,0,0
100,0.280147,0,1,0,0,0.280147,0,1,0,0,0.280147,0,1,0,0
101,0.291977,0,1,0,0,0.291977,0,1,0,0,0.291977,0,1,0,0
102,0.303951,0,1,0,0,0.303951,0,1,0,0,0.303951,0,1,0,0
103,0.316056,0,1,0,0,0.316056,0,1,0,0,0.316056,0,1,0,0
104,0.328281,0,1,0,0,0.328281,0,1,0,0,0.328281,0,1,0,0
105,0.340616,0,1,0,0,0.340616,0,1,0,0,0.340616,0,1,0,0
106,0.35305,0,1,0,0,0.35305,0,1,0,0,0.35305,0,1,0,0
107,0.365571,0,1,0,0,0.365571,0,1,0,0,0.365571,0,1,0,0
108,0.378169,0,1,0,0,0.378169,0,1,0,0,0.378169,0,1,0,0
109,0.390833,0,1,0,0,0.390833,0,1,0,0,0.390833,0,1,0,0
110,0.403553,0,1,0,0,0.403553,0,1,0,0,0.403553,0,1,0,0
111,0.416316,0,1,0,0,0.416316,0,1,0,0,0.416316,0,1,0,0
112,0.429115,0,1,0,0,0.429115,0,1,0,0,0.429115,0,1,0,0
113,0.441937,0,1,0,0,0.441937,0,1,0,0,0.441937,0,1,0,0
114,0.454773,0,1,0,0,0.454773,0,1,0,0,0.454773,0,1,0,0
115,0.467614,0,1,0,0,0.467614,0,1,0,0,0.467614,0,1,0,0
116,0.480449,0,1,0,0,0.480449,0,1,0,0,0.480449,0,1,0,0
